"IPAID" "gene_symbol" "PASid" "siControl_R1_IPA_UPreads" "siControl_R1_IPA_UPRPK" "siControl_R1_IPA_DNreads" "siControl_R1_IPA_DNRPK" "siControl_R1_LEreads" "siControl_R1_LERPK" "siControl_R1_IPA_RE"
"chr16:78329968:+Cxadr" "Cxadr" "chr16:78329968:+" 0 0 0 0 0 0 0
"chr16:78333717:+Cxadr" "Cxadr" "chr16:78333717:+" 0 0 0 0 0 0 0
"chr16:78340760:+Cxadr" "Cxadr" "chr16:78340760:+" 0 0 0 0 0 0 0
"chr6:119929833:-Wnk1" "Wnk1" "chr6:119929833:-" 0 0 0 0 0 0 0
"chr6:119930772:-Wnk1" "Wnk1" "chr6:119930772:-" 0 0 0 0 0 0 0
"chr6:119944330:-Wnk1" "Wnk1" "chr6:119944330:-" 0 0 0 0 0 0 0
"chr6:119950323:-Wnk1" "Wnk1" "chr6:119950323:-" 0 0 0 0 0 0 0
"chr6:119952869:-Wnk1" "Wnk1" "chr6:119952869:-" 0 0 0 0 0 0 0
"chr6:119953650:-Wnk1" "Wnk1" "chr6:119953650:-" 0 0 0 0 0 0 0
"chr6:119962308:-Wnk1" "Wnk1" "chr6:119962308:-" 0 0 0 0 0 0 0
"chr6:119970747:-Wnk1" "Wnk1" "chr6:119970747:-" 0 0 0 0 0 0 0
